Group,Day,Tank,ZT,
Experiment,4,3,7,29.81111111
Experiment,5,1,7,27.85555556
Experiment,5,2,7,28.30833333
Experiment,5,3,7,30.25
Experiment,6,1,7,27.65555556
Experiment,6,2,7,29.59444444
Experiment,6,3,7,28.93055556
Experiment,7,1,7,27.58611111
Experiment,7,2,7,27.93333333
Experiment,7,3,7,30.61111111
Experiment,8,1,7,28.15833333
Experiment,8,2,7,29.01111111
Experiment,8,3,7,29.41111111
Experiment,9,1,7,27.54444444
Experiment,9,2,7,28.21944444
Experiment,9,3,7,29.40555556
Experiment,10,1,7,28.275
Experiment,10,2,7,27.78055556
Experiment,10,3,7,29.33611111
Experiment,11,1,7,27.88611111
Experiment,11,2,7,28.30555556
Experiment,1,1,8,28.75
Experiment,1,2,8,28.86944444
Experiment,1,3,8,28.78611111
Experiment,2,1,8,28.23333333
Experiment,2,2,8,28.64166667
Experiment,2,3,8,29.27222222
Experiment,3,1,8,28.65833333
Experiment,3,2,8,28.69310036
Experiment,3,3,8,30.49444444
Experiment,4,1,8,28.62777778
Experiment,4,2,8,28.87777778
Experiment,4,3,8,29.41944444
Experiment,5,1,8,28.075
Experiment,5,2,8,29.63055556
Experiment,5,3,8,30.46944444
Experiment,6,1,8,27.41388889
Experiment,6,2,8,29.27777778
Experiment,6,3,8,28.8
Experiment,7,1,8,27.34722222
Experiment,7,2,8,28.53611111
Experiment,7,3,8,28.81388889
Experiment,8,1,8,28.04444444
Experiment,8,2,8,28.97777778
Experiment,8,3,8,28.81388889
Experiment,9,1,8,27.72777778
Experiment,9,2,8,27.94166667
Experiment,9,3,8,29.1
Experiment,10,1,8,28.21666667
Experiment,10,2,8,27.88611111
Experiment,10,3,8,29.58611111
Experiment,11,1,8,28.09444444
Experiment,11,2,8,28.10277778
Experiment,1,1,9,28.625
Experiment,1,2,9,28.08611111
Experiment,1,3,9,29.14166667
Experiment,2,1,9,28.86666667
Experiment,2,2,9,27.84444444
Experiment,2,3,9,29.8
Experiment,3,1,9,28.79166667
Experiment,3,2,9,28.72983871
Experiment,3,3,9,30.76944444
Experiment,4,1,9,28.14722222
Experiment,4,2,9,28.75833333
Experiment,4,3,9,29.68055556
Experiment,5,1,9,28.26111111
Experiment,5,2,9,28.34444444
Experiment,5,3,9,30.30277778
Experiment,6,1,9,27.9
Experiment,6,2,9,29.14166667
Experiment,6,3,9,29.75
Experiment,7,1,9,27.08611111
Experiment,7,2,9,27.99722222
Experiment,7,3,9,30.23333333
Experiment,8,1,9,28.26944444
Experiment,8,2,9,28.63333333
Experiment,8,3,9,29.14166667
Experiment,9,1,9,27.80555556
Experiment,9,2,9,28.01111111
Experiment,9,3,9,29.29444444
Experiment,10,1,9,28.13888889
Experiment,10,2,9,28.25833333
Experiment,10,3,9,29.30833333
Experiment,11,1,9,27.95555556
Experiment,11,2,9,28.28055556
Experiment,1,1,10,29.35
Experiment,1,2,10,28.62777778
Experiment,1,3,10,29.29722222
Experiment,2,1,10,29.38055556
Experiment,2,2,10,28.43333333
Experiment,2,3,10,30.25555556
Experiment,3,1,10,28.83611111
Experiment,3,2,10,28.55555556
Experiment,3,3,10,31.23333333
Experiment,4,1,10,27.36666667
Experiment,4,2,10,28.48055556
Experiment,4,3,10,30.04444444
Experiment,5,1,10,27.67222222
Experiment,5,2,10,28.46666667
Experiment,5,3,10,30.95277778
Experiment,6,1,10,27.925
Experiment,6,2,10,29.44166667
Experiment,6,3,10,29.38333333
Experiment,7,1,10,28.11666667
Experiment,7,2,10,27.09166667
Experiment,7,3,10,29.65
Experiment,8,1,10,28.50833333
Experiment,8,2,10,28.12777778
Experiment,8,3,10,28.96388889
Experiment,9,1,10,27.56111111
Experiment,9,2,10,28.02777778
Experiment,9,3,10,30.01944444
Experiment,10,1,10,28.19444444
Experiment,10,2,10,27.72033898
Experiment,10,3,10,29.39722222
Experiment,11,1,10,27.96111111
Experiment,11,2,10,27.90833333
Experiment,1,1,11,28.96388889
Experiment,1,2,11,29.60277778
Experiment,1,3,11,29.53333333
Experiment,2,1,11,28.18333333
Experiment,2,2,11,28.23055556
Experiment,2,3,11,30.03888889
Experiment,3,1,11,28.23611111
Experiment,3,2,11,28.37777778
Experiment,3,3,11,29.59722222
Experiment,4,1,11,27.81944444
Experiment,4,2,11,29.43611111
Experiment,4,3,11,30.17777778
