Chamber,ElapsedDays,pr_mn,pr_lo,pr_hi,M_mn,M_lo,M_hi,A_mn,A_lo,A_hi,phi_mn,Group,Species
1,5.25,0.131940741,0.073967999,0.196286158,0.150147032,0.093902279,0.209982949,0.421263758,0.23191428,0.635395537,23.20705365,Experiment,Zebrafish
1,5.291666667,0.12384967,0.070229167,0.184156627,0.149827694,0.093871545,0.209333101,0.421848788,0.232788523,0.635171036,23.21112777,Experiment,Zebrafish
1,5.333333333,0.117994923,0.065642126,0.173714662,0.14950307,0.093755356,0.208687242,0.422437211,0.229421392,0.629968632,23.21540962,Experiment,Zebrafish
1,5.375,0.114156188,0.065341452,0.167969206,0.149174462,0.093976298,0.208756888,0.423029234,0.230358682,0.629344097,23.21990101,Experiment,Zebrafish
1,5.416666667,0.111993989,0.063161351,0.163640951,0.148843209,0.093388869,0.207856211,0.42362505,0.233026306,0.629611216,23.22460343,Experiment,Zebrafish
1,5.458333333,0.111143125,0.064386224,0.164238991,0.148510678,0.092831897,0.207170881,0.424224843,0.23528239,0.630288543,23.22951798,Experiment,Zebrafish
1,5.5,0.111314563,0.06431908,0.165272378,0.148178255,0.092788299,0.206967543,0.424828785,0.236794841,0.630921957,23.23464531,Experiment,Zebrafish
1,5.541666667,0.112397769,0.060691854,0.162768026,0.147847335,0.092594784,0.206548589,0.425437037,0.235797977,0.627767136,23.23998561,Experiment,Zebrafish
1,5.583333333,0.114520611,0.065658445,0.170439919,0.14751932,0.091868487,0.205545037,0.426049746,0.246613375,0.638157774,23.24553855,Experiment,Zebrafish
1,5.625,0.118023003,0.066054279,0.175216061,0.147195601,0.091169359,0.204601502,0.426667051,0.246010798,0.636904701,23.25130322,Experiment,Zebrafish
1,5.666666667,0.123342582,0.066716253,0.182700037,0.146877558,0.091021853,0.20435041,0.427289081,0.245387401,0.634978536,23.25727813,Experiment,Zebrafish
1,5.708333333,0.130846915,0.071650344,0.195867206,0.146566547,0.091031182,0.20418973,0.427915954,0.246354663,0.634423986,23.26346113,Experiment,Zebrafish
1,5.75,0.140639703,0.077872442,0.210273649,0.146263891,0.09107588,0.20404365,0.428547782,0.246646123,0.633306269,23.26984942,Experiment,Zebrafish
1,5.791666667,0.152351613,0.087912895,0.227414222,0.145970873,0.090360615,0.203199418,0.429184667,0.249969594,0.636081235,23.27643948,Experiment,Zebrafish
1,5.833333333,0.164957013,0.097036874,0.24344221,0.145688728,0.090255411,0.202640814,0.429826709,0.253452098,0.638362166,23.28322705,Experiment,Zebrafish
1,5.875,0.176740152,0.105842979,0.256784566,0.145418631,0.093714327,0.205863477,0.430474,0.255859867,0.640171171,23.29020715,Experiment,Zebrafish
1,5.916666667,0.185580878,0.112362319,0.266282907,0.145161696,0.09086592,0.202884657,0.431126631,0.248569609,0.632998316,23.29737401,Experiment,Zebrafish
1,5.958333333,0.189601002,0.118297183,0.27094646,0.14491896,0.091214384,0.202785828,0.43178469,0.257520044,0.63999477,23.30472106,Experiment,Zebrafish
1,6,0.187902664,0.1151825,0.267456259,0.144691385,0.090954788,0.202166259,0.432448264,0.260859921,0.642757715,23.31224097,Experiment,Zebrafish
1,6.041666667,0.180933624,0.106314829,0.257260232,0.144479844,0.091285704,0.202205639,0.433117443,0.261142402,0.641934844,23.31992558,Experiment,Zebrafish
1,6.083333333,0.170235645,0.101801789,0.24743763,0.144285119,0.091283457,0.202150265,0.433792315,0.258168631,0.637944647,23.32776595,Experiment,Zebrafish
1,6.125,0.157789013,0.087601367,0.226205607,0.144107895,0.091227471,0.202225603,0.434472974,0.257722645,0.636414673,23.33575234,Experiment,Zebrafish
1,6.166666667,0.145380701,0.082755172,0.213942436,0.143948755,0.091183045,0.201984221,0.435159514,0.259148941,0.637316302,23.34387422,Experiment,Zebrafish
1,6.208333333,0.134263801,0.078218932,0.202975926,0.143808176,0.090800741,0.201664337,0.435852037,0.262816387,0.641418381,23.35212031,Experiment,Zebrafish
1,6.25,0.125111053,0.067010044,0.183909744,0.143686527,0.091157885,0.201761125,0.436550645,0.260794524,0.63955931,23.36047857,Experiment,Zebrafish
1,6.291666667,0.118130001,0.065195628,0.174628309,0.143584064,0.091140148,0.201577315,0.437255449,0.255787059,0.634773097,23.36893625,Experiment,Zebrafish
1,6.333333333,0.11321542,0.063090001,0.166462249,0.143500931,0.09062558,0.200964935,0.437966562,0.256620835,0.635634144,23.3774799,Experiment,Zebrafish
1,6.375,0.110079371,0.06106889,0.16026514,0.143437157,0.090748243,0.200713517,0.438684101,0.264541233,0.642545182,23.38609544,Experiment,Zebrafish
1,6.416666667,0.108355186,0.061913645,0.158680319,0.143392658,0.09066215,0.20041275,0.439408187,0.261349794,0.638054376,23.39476815,Experiment,Zebrafish
1,6.458333333,0.107695614,0.063936661,0.159108406,0.143367235,0.090695388,0.200414417,0.440138946,0.26327588,0.64074639,23.40348277,Experiment,Zebrafish
1,6.5,0.107875711,0.06193673,0.157319977,0.143360578,0.090622559,0.199997813,0.440876504,0.268556793,0.646153877,23.41222352,Experiment,Zebrafish
1,6.541666667,0.108879961,0.064330999,0.160920959,0.143372266,0.090450655,0.200111996,0.441620988,0.266187032,0.644542157,23.42097414,Experiment,Zebrafish
1,6.583333333,0.110931135,0.064785875,0.164493388,0.143401774,0.090610702,0.20035151,0.442372525,0.268688982,0.648758294,23.42971799,Experiment,Zebrafish
1,6.625,0.114434319,0.064323747,0.169971615,0.143448471,0.0899107,0.199669909,0.44313124,0.258869684,0.63900366,23.43843809,Experiment,Zebrafish
1,6.666666667,0.119850671,0.063932074,0.176753365,0.143511631,0.089884245,0.199608323,0.443897255,0.26428999,0.645827018,23.44711717,Experiment,Zebrafish
1,6.708333333,0.127534259,0.067439186,0.18869941,0.143590433,0.089966517,0.199538991,0.444670686,0.263297335,0.64478141,23.45573776,Experiment,Zebrafish
1,6.75,0.137547762,0.076593393,0.205696124,0.14368397,0.090577591,0.200400585,0.445451644,0.266318748,0.649185978,23.46428226,Experiment,Zebrafish
1,6.791666667,0.149462665,0.084262277,0.222266328,0.143791255,0.09042007,0.200306051,0.446240229,0.268065513,0.653584014,23.47273301,Experiment,Zebrafish
1,6.833333333,0.162193645,0.094772225,0.24059648,0.143911228,0.091508677,0.201437842,0.447036532,0.26957755,0.655855346,23.48107236,Experiment,Zebrafish
1,6.875,0.174002317,0.101407916,0.251791923,0.144042765,0.09152352,0.201298276,0.447840633,0.270819671,0.657833356,23.48928273,Experiment,Zebrafish
1,6.916666667,0.182831341,0.113974035,0.266862791,0.144184685,0.090850709,0.200772593,0.448652598,0.271204647,0.659627942,23.49734673,Experiment,Zebrafish
1,6.958333333,0.186965018,0.116186637,0.268707109,0.144335757,0.090600603,0.200368972,0.449472478,0.269971263,0.65982123,23.50524721,Experiment,Zebrafish
1,7,0.18570281,0.116138099,0.267097156,0.144494716,0.09067704,0.200644355,0.450300307,0.261883244,0.652973065,23.51296733,Experiment,Zebrafish
1,7.041666667,0.179606501,0.109292653,0.258057843,0.144660264,0.091149131,0.201147215,0.451136104,0.266650633,0.658753178,23.52049065,Experiment,Zebrafish
1,7.083333333,0.170171707,0.100903372,0.246356133,0.144831084,0.092954618,0.203127973,0.451979868,0.26883311,0.661930383,23.5278012,Experiment,Zebrafish
1,7.125,0.159196581,0.088844639,0.229641363,0.145005852,0.092777575,0.202911373,0.45283158,0.270165082,0.66401041,23.53488356,Experiment,Zebrafish
1,7.166666667,0.148239323,0.083081622,0.218502586,0.145183242,0.092964999,0.203264035,0.453691201,0.275337731,0.669435354,23.54172294,Experiment,Zebrafish
